所属名,会計,会計名,入出区分,款,款名,項,項名,目,目名,節,節名,細節,細節名,細々節,細々節名,目的１,目的２,目的３,目的４,目的名,目的名２,目的名３,目的名４,自主依存区分,臨経区分,最下層区分１,最下層区分２,最下層区分３,財源区分,年度2,R7予算額,R8予算額
総務課,01,一般会計,1,15,使用料及び手数料,01,使用料,01,総務使用料,01,土地使用料,01,目的外使用料,000,,48,20,00,00,使用料　　　　　　　　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,,0,00,,,,0,508,"15,000 ","15,000 "
総務課,01,一般会計,1,15,使用料及び手数料,01,使用料,01,総務使用料,02,建物使用料,01,庁舎目的外使用料,000,,48,20,00,00,使用料　　　　　　　　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,,0,00,,,,1,508,"3,906,000 ","3,906,000 "
総務課,01,一般会計,1,16,国庫支出金,03,委託金,01,総務費委託金,01,総務管理費委託金,01,自衛官募集事務地方公共団体委託金,000,,56,40,15,00,国庫支出金　　　　　　　　　　　　　　　,委託金　　　　　　　　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,1,00,,,,1,508,"50,000 ","50,000 "
総務課,01,一般会計,1,17,県支出金,03,委託金,01,総務費委託金,01,総務管理費委託金,01,県民だより配布委託金,000,,64,10,15,00,都道府県支出金　　　　　　　　　　　　　,都道府県費のみのもの　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,1,00,,,,1,508,"4,000 ","4,000 "
総務課,01,一般会計,1,22,諸収入,05,雑入,03,総合企画部雑入,01,総務課雑入,05,雇用保険料,000,,84,35,15,00,諸収入　　　　　　　　　　　　　　　　　,雑入　　　　　　　　　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,0,10,,,,1,508,"21,000 ","51,000 "
総務課,01,一般会計,1,22,諸収入,05,雑入,03,総合企画部雑入,01,総務課雑入,11,光熱水費等使用者負担金,000,,84,35,15,00,諸収入　　　　　　　　　　　　　　　　　,雑入　　　　　　　　　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,0,00,,,,1,508,"1,127,000 ","1,204,000 "
総務課,01,一般会計,1,22,諸収入,05,雑入,03,総合企画部雑入,01,総務課雑入,12,自動販売機設置対価料,000,,84,35,15,00,諸収入　　　　　　　　　　　　　　　　　,雑入　　　　　　　　　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,0,00,,,,1,508,"2,630,000 ","1,832,000 "
総務課,01,一般会計,1,22,諸収入,05,雑入,03,総合企画部雑入,01,総務課雑入,14,各種出版物等売払収入,000,,84,35,15,00,諸収入　　　　　　　　　　　　　　　　　,雑入　　　　　　　　　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,0,10,,,,0,507,0 ,0 
総務課,01,一般会計,1,22,諸収入,05,雑入,03,総合企画部雑入,01,総務課雑入,21,私用電話料,000,,84,35,15,00,諸収入　　　　　　　　　　　　　　　　　,雑入　　　　　　　　　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,0,10,,,,1,508,"46,000 ","49,000 "
総務課,01,一般会計,1,22,諸収入,05,雑入,03,総合企画部雑入,01,総務課雑入,28,後納郵便料,000,,84,35,15,00,諸収入　　　　　　　　　　　　　　　　　,雑入　　　　　　　　　　　　　　　　　　,その他　　　　　　　　　　　　　　　　　,,0,10,,,,1,508,"1,000 ","1,000 "
